Model,default-0,default-1,default-2,default-3,rationale-0,rationale-1,rationale-2,task-info-0,task-info-1,task-info-2,binary,checklist,confidence
EDT-Former,72.25,71.83,73.46,70.92,69.40,70.15,68.73,71.62,72.38,70.95,73.12,71.47,74.28
EDT-Former (0_32),69.43,68.76,70.21,69.88,72.39,71.94,73.15,65.06,66.32,64.18,70.55,68.91,75.33
EDT-Former (16_16),72.18,71.52,73.09,72.64,72.76,73.41,71.89,67.97,68.75,67.23,69.84,70.28,76.42
EDT-Former (32_0),74.49,73.85,75.12,74.06,73.89,74.52,73.21,74.63,75.29,73.98,72.38,76.51,73.67
Llama2,73.89,73.24,74.56,73.41,74.38,75.03,73.82,65.52,64.87,66.19,70.29,75.18,68.95
Llama3.1,54.43,53.78,55.21,54.89,52.71,53.46,52.08,57.39,58.12,56.74,56.83,55.47,60.21
Mol-Instructions-Llama2,74.63,75.28,73.97,74.19,74.38,73.65,75.14,73.15,72.43,73.89,75.84,72.56,76.38
Mol-Instructions-Llama3.1,38.92,39.57,38.24,39.38,42.36,43.18,41.72,53.94,54.67,53.29,55.73,58.92,57.45
Mol-Llama3.1,64.34,63.68,65.12,64.79,66.58,67.24,65.93,65.16,64.52,65.81,67.32,65.88,69.57
