Model,default-0,default-1,default-2,default-3,rationale-0,rationale-1,rationale-2,task-info-0,task-info-1,task-info-2,binary,checklist,confidence
EDT-Former,55.56,54.71,54.72,49.66,53.42,53.38,59.31,56.65,51.55,57.14,45.05,54.17,59.44
Llama2,51.45,49.38,51.04,51.04,52.28,50.21,51.04,,51.45,51.04,51.45,51.45,51.04
Llama3.1,,51.87,52.28,53.11,,51.87,51.45,,51.04,51.87,50.62,51.45,54.36
Mol-Instructions-Llama2,51.04,50.21,48.13,49.38,51.45,51.87,52.70,52.28,53.11,48.96,46.06,52.70,51.45
Mol-Instructions-Llama3.1,57.26,51.87,51.87,53.94,57.26,48.96,50.21,51.45,51.87,50.62,45.64,58.92,55.19
Mol-Llama2,,55.04,50.42,44.17,,51.45,51.04,,53.95,52.30,53.53,51.25,51.25
Mol-Llama3.1,49.58,51.09,53.07,50.00,52.70,50.00,51.49,51.67,52.28,49.06,46.84,51.97,49.79
