Model,default-0,default-1,default-2,default-3,rationale-0,rationale-1,rationale-2,task-info-0,task-info-1,task-info-2,binary,checklist,confidence
EDT-Former,67.69,76.92,69.41,71.23,73.68,72.53,73.33,74.17,73.63,71.72,62.75,72.82,58.11
Llama2,24.03,75.19,74.42,74.42,33.33,72.87,74.42,,72.87,74.42,74.42,67.44,74.42
Llama3.1,,72.87,74.42,64.34,,75.97,75.19,,69.77,70.54,75.19,72.87,76.74
Mol-Instructions-Llama2,72.09,74.42,58.91,52.71,56.59,74.42,73.64,,65.89,62.02,56.59,69.77,70.54
Mol-Instructions-Llama3.1,28.68,48.84,65.89,48.06,28.68,26.36,27.13,25.58,62.02,68.99,65.89,51.94,65.89
Mol-Llama2,,67.44,68.99,44.53,,74.42,73.64,,73.81,73.81,61.24,74.42,74.60
Mol-Llama3.1,65.60,74.02,74.38,73.39,72.58,73.23,75.00,74.42,69.47,71.17,70.63,72.22,74.42
